layer,left_id,right_ids,rule,confidence,evidence,rejected
L1_ORDER_PAYMENT,order_00000,pay_00000a,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00000a""}",[]
L1_ORDER_PAYMENT,order_00002,pay_00002g,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00002g""}",[]
L1_ORDER_PAYMENT,order_00003,pay_00003e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00003e""}",[]
L1_ORDER_PAYMENT,order_00004,pay_00004d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00004d""}",[]
L1_ORDER_PAYMENT,order_00005,pay_00005c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00005c""}",[]
L1_ORDER_PAYMENT,order_00006,pay_00006b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00006b""}",[]
L1_ORDER_PAYMENT,order_00007,pay_00007b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00007b""}",[]
L1_ORDER_PAYMENT,order_00008,pay_00008h,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00008h""}",[]
L1_ORDER_PAYMENT,order_00009,pay_00009h,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00009h""}",[]
L1_ORDER_PAYMENT,order_00012,pay_00012g,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00012g""}",[]
L1_ORDER_PAYMENT,order_00015,pay_00015c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00015c""}",[]
L1_ORDER_PAYMENT,order_00019,pay_00019a,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00019a""}",[]
L1_ORDER_PAYMENT,order_00020,pay_00020b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00020b""}",[]
L1_ORDER_PAYMENT,order_00022,pay_00022c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00022c""}",[]
L1_ORDER_PAYMENT,order_00023,pay_00023e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00023e""}",[]
L1_ORDER_PAYMENT,order_00024,pay_00024f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00024f""}",[]
L1_ORDER_PAYMENT,order_00025,pay_00025d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00025d""}",[]
L1_ORDER_PAYMENT,order_00026,pay_00026f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00026f""}",[]
L1_ORDER_PAYMENT,order_00027,pay_00027d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00027d""}",[]
L1_ORDER_PAYMENT,order_00028,pay_00028b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00028b""}",[]
L1_ORDER_PAYMENT,order_00029,pay_00029f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00029f""}",[]
L1_ORDER_PAYMENT,order_00030,pay_00030c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00030c""}",[]
L1_ORDER_PAYMENT,order_00032,pay_00032d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00032d""}",[]
L1_ORDER_PAYMENT,order_00033,pay_00033a,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00033a""}",[]
L1_ORDER_PAYMENT,order_00034,pay_00034c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00034c""}",[]
L1_ORDER_PAYMENT,order_00036,pay_00036a,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00036a""}",[]
L1_ORDER_PAYMENT,order_00037,pay_00037b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00037b""}",[]
L1_ORDER_PAYMENT,order_00038,pay_00038h,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00038h""}",[]
L1_ORDER_PAYMENT,order_00039,pay_00039b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00039b""}",[]
L1_ORDER_PAYMENT,order_00040,pay_00040c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00040c""}",[]
L1_ORDER_PAYMENT,order_00041,pay_00041b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00041b""}",[]
L1_ORDER_PAYMENT,order_00042,pay_00042g,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00042g""}",[]
L1_ORDER_PAYMENT,order_00043,pay_00043a,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00043a""}",[]
L1_ORDER_PAYMENT,order_00044,pay_00044b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00044b""}",[]
L1_ORDER_PAYMENT,order_00045,pay_00045e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00045e""}",[]
L1_ORDER_PAYMENT,order_00047,pay_00047a,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00047a""}",[]
L1_ORDER_PAYMENT,order_00048,pay_00048f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00048f""}",[]
L1_ORDER_PAYMENT,order_00049,pay_00049b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00049b""}",[]
L1_ORDER_PAYMENT,order_00050,pay_00050c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00050c""}",[]
L1_ORDER_PAYMENT,order_00051,pay_00051d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00051d""}",[]
L1_ORDER_PAYMENT,order_00052,pay_00052e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00052e""}",[]
L1_ORDER_PAYMENT,order_00053,pay_00053a,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00053a""}",[]
L1_ORDER_PAYMENT,order_00056,pay_00056e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00056e""}",[]
L1_ORDER_PAYMENT,order_00057,pay_00057d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00057d""}",[]
L1_ORDER_PAYMENT,order_00058,pay_00058e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00058e""}",[]
L1_ORDER_PAYMENT,order_00059,pay_00059h,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00059h""}",[]
L1_ORDER_PAYMENT,order_00060,pay_00060a,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00060a""}",[]
L1_ORDER_PAYMENT,order_00061,pay_00061f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00061f""}",[]
L1_ORDER_PAYMENT,order_00062,pay_00062h,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00062h""}",[]
L1_ORDER_PAYMENT,order_00063,pay_00063b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00063b""}",[]
L1_ORDER_PAYMENT,order_00065,pay_00065d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00065d""}",[]
L1_ORDER_PAYMENT,order_00067,pay_00067h,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00067h""}",[]
L1_ORDER_PAYMENT,order_00068,pay_00068b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00068b""}",[]
L1_ORDER_PAYMENT,order_00069,pay_00069d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00069d""}",[]
L1_ORDER_PAYMENT,order_00070,pay_00070b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00070b""}",[]
L1_ORDER_PAYMENT,order_00074,pay_00074b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00074b""}",[]
L1_ORDER_PAYMENT,order_00075,pay_00075e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00075e""}",[]
L1_ORDER_PAYMENT,order_00076,pay_00076g,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00076g""}",[]
L1_ORDER_PAYMENT,order_00078,pay_00078e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00078e""}",[]
L1_ORDER_PAYMENT,order_00079,pay_00079e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00079e""}",[]
L1_ORDER_PAYMENT,order_00081,pay_00081h,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00081h""}",[]
L1_ORDER_PAYMENT,order_00082,pay_00082c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00082c""}",[]
L1_ORDER_PAYMENT,order_00084,pay_00084d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00084d""}",[]
L1_ORDER_PAYMENT,order_00086,pay_00086h,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00086h""}",[]
L1_ORDER_PAYMENT,order_00087,pay_00087d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00087d""}",[]
L1_ORDER_PAYMENT,order_00089,pay_00089e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00089e""}",[]
L1_ORDER_PAYMENT,order_00090,pay_00090d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00090d""}",[]
L1_ORDER_PAYMENT,order_00091,pay_00091d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00091d""}",[]
L1_ORDER_PAYMENT,order_00092,pay_00092g,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00092g""}",[]
L1_ORDER_PAYMENT,order_00094,pay_00094e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00094e""}",[]
L1_ORDER_PAYMENT,order_00096,pay_00096c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00096c""}",[]
L1_ORDER_PAYMENT,order_00097,pay_00097c,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00097c""}",[]
L1_ORDER_PAYMENT,order_00098,pay_00098f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00098f""}",[]
L1_ORDER_PAYMENT,order_00100,pay_00100f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00100f""}",[]
L1_ORDER_PAYMENT,order_00102,pay_00102b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00102b""}",[]
L1_ORDER_PAYMENT,order_00103,pay_00103e,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00103e""}",[]
L1_ORDER_PAYMENT,order_00105,pay_00105g,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00105g""}",[]
L1_ORDER_PAYMENT,order_00106,pay_00106f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00106f""}",[]
L1_ORDER_PAYMENT,order_00108,pay_00108b,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00108b""}",[]
L1_ORDER_PAYMENT,order_00109,pay_00109d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00109d""}",[]
L1_ORDER_PAYMENT,order_00110,pay_00110f,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00110f""}",[]
L1_ORDER_PAYMENT,order_00111,pay_00111d,R1.1_EXACT_PAYMENT_ID,1.0000,"{""gateway_payment_id"": ""pay_00111d""}",[]
