txn_id,value_date,narration,credit,debit
bank_00001,06-04-2026,NEFT CR-GATEWAYPAY-UTR287021343286-SETTLEMENT,"1,66,417.60",
bank_00002,06-04-2026,NEFT CR-GATEWAYPAY-UTR952444100145-SETTLEMENT,190734.12,
bank_00003,06-04-2026,NEFT CR-GATEWAYPAY-PAYOUT-SETTLEMENT,146316.30,
bank_00026,06-04-2026,NEFT CR-ORBIT MOBILITY-DIRECT-UTR951840275774,"2,906.90",
bank_00005,08-04-2026,NEFT CR-GATEWAYPAY-SETL_0005-UTR322789080679-SETTLEMENT,281466.91,
bank_00004,09-04-2026,NEFT CR-GATEWAYPAY-UTR249067261630-SETTLEMENT,147685.16,
bank_00006,09-04-2026,NEFT CR-GATEWAYPAY-SETL_0006-UTR490287004565-SETTLEMENT,"2,30,313.30",
bank_00007,10-04-2026,NEFT CR-GATEWAYPAY-UTR981934577532-SETTLEMENT,77320.69,
bank_00008,11-04-2026,NEFT CR-GATEWAYPAY-SETL_0008-UTR382718930125-SETTLEMENT,291310.78,
bank_00009,12-04-2026,NEFT CR-GATEWAYPAY-SETL_0009-UTR678692079564-SETTLEMENT,191933.32,
bank_00011,14-04-2026,NEFT CR-GATEWAYPAY-SETL_0011-NOUTR-SETTLEMENT,"2,26,113.69",
bank_00012,15-04-2026,NEFT CR-GATEWAYPAY-SETL_0012-UTR134844938098-SETTLEMENT,"1,86,396.00",
bank_00010,16-04-2026,NEFT CR-GATEWAYPAY-UTR997835012153-SETTLEMENT,"2,77,241.74",
bank_00013,16-04-2026,NEFT CR-GATEWAYPAY-SETL_0013-UTR487640565588-SETTLEMENT,196663.12,
bank_00014,17-04-2026,NEFT CR-GATEWAYPAY-SETL_0014-UTR583533315126-SETTLEMENT,152665.65,
bank_00015,19-04-2026,NEFT CR-GATEWAYPAY-SETL_0015-PART-UTR899946754136,"1,11,084.58",
bank_00016,19-04-2026,NEFT CR-GATEWAYPAY-SETL_0015-PART-UTR740767189621,111084.58,
bank_00017,19-04-2026,NEFT CR-GATEWAYPAY-SETL_0016-UTR264004480678-SETTLEMENT,122671.39,
bank_00018,20-04-2026,NEFT CR-GATEWAYPAY-SETL_0017-UTR837390750969-SETTLEMENT,197032.34,
bank_00019,21-04-2026,NEFT CR-GATEWAYPAY-SETL_0018-NOUTR-SETTLEMENT,94834.45,
bank_00020,22-04-2026,NEFT CR-GATEWAYPAY-SETL_0019-UTR936185120559-SETTLEMENT,"1,83,760.81",
bank_00028,22-04-2026,NEFT CR-PIXELWORKS STUDIO-DIRECT-UTR555507126941,"14,291.40",
bank_00021,23-04-2026,NEFT CR-GATEPAYPAY-SETL_0020-UTRG25829077333-SDTTLEMENT,232244.23,
bank_00027,23-04-2026,NEFT CR-GREENLEAF ORGANICS-DIRECT-UTR125828215650,"21,734.95",
bank_00022,26-04-2026,NEFT CR-GATEWAYPAY-CONSOLIDATED-UTR249117031067,"3,90,459.40",
bank_00029,26-04-2026,NEFT CR-PIXELWORKS STUDIO-DIRECT-UTR199457177592,"26,751.66",
bank_00023,27-04-2026,NEFT CR-GATEWAYPAY-UTR860889033985-SETTLEMENT,"1,87,723.69",
bank_00024,29-04-2026,NEFT CR-GATEWAYPAY-UTR440231479471-SETTLEMENT,"2,36,134.51",
bank_00025,30-04-2026,NEFT CR-GATEWAYPAY-SETL_0027-NOUTR-SETTLEMENT,"1,34,052.66",
