order_id,created_at,customer,amount,status,gateway_payment_id
order_00000,2026-04-11,ACME TRADING PVT LTD,12853.14,captured,pay_00000a
order_00001,2026-04-02,ORBIT MOBILITY,7408.77,captured,
order_00002,2026-04-08,KHANNA ELECTRONICS,5388.36,captured,pay_00002g
order_00003,2026-04-14,PIXELWORKS STUDIO,12299.99,captured,pay_00003e
order_00004,2026-04-18,MERIDIAN BOOKS,5466.12,captured,pay_00004d
order_00005,2026-04-12,TATVA WELLNESS,25345.27,captured,pay_00005c
order_00006,2026-04-11,KHANNA ELECTRONICS,37849.94,captured,pay_00006b
order_00007,2026-04-14,PIXELWORKS STUDIO,3487.94,captured,pay_00007b
order_00008,2026-04-23,NIMBUS RETAIL,29574.09,captured,pay_00008h
order_00009,2026-04-24,ACME TRADING PVT LTD,26170.74,captured,pay_00009h
order_00010,2026-04-12,GREENLEAF ORGANICS,14295.91,captured,pay_00010y
order_00011,2026-04-28,MERIDIAN BOOKS,41849.00,failed,
order_00012,2026-04-13,PIXELWORKS STUDIO,23505.83,captured,pay_00012g
order_00013,2026-04-08,KHANNA ELECTRONICS,12859.16,failed,
order_00014,2026-04-08,ORBIT MOBILITY,19772.64,failed,
order_00015,2026-04-06,KHANNA ELECTRONICS,22239.78,captured,pay_00015c
order_00016,2026-04-15,NIMBUS RETAIL,33114.12,captured,
order_00017,2026-04-15,ORBIT MOBILITY,13813.97,failed,
order_00018,2026-04-02,KHANNA ELECTRONICS,8787.22,failed,
order_00019,2026-04-18,VELOCITY LOGISTICS,8710.44,captured,pay_00019a
order_00020,2026-04-20,MERIDIAN BOOKS,30747.24,captured,pay_00020b
order_00021,2026-04-03,PIXELWORKS STUDIO,12288.45,failed,
order_00022,2026-04-24,PIXELWORKS STUDIO,22408.41,captured,pay_00022c
order_00023,2026-04-23,VELOCITY LOGISTICS,2467.48,captured,pay_00023e
order_00024,2026-04-06,SOUTHERN SPICE FOODS,30036.95,captured,pay_00024f
order_00025,2026-04-27,ACME TRADING PVT LTD,33810.84,captured,pay_00025d
order_00026,2026-04-16,PIXELWORKS STUDIO,21940.12,captured,pay_00026f
order_00027,2026-04-08,ORBIT MOBILITY,8768.56,captured,pay_00027d
order_00028,2026-04-16,SOUTHERN SPICE FOODS,29056.39,captured,pay_00028b
order_00029,2026-04-06,MERIDIAN BOOKS,36599.27,captured,pay_00029f
order_00030,2026-04-24,MERIDIAN BOOKS,7322.54,captured,pay_00030c
order_00031,2026-04-20,NIMBUS RETAIL,39990.94,captured,
