payment_id,order_ref,captured_at,gross,fee,gst_on_fee,net,settlement_id,method
pay_00000a,order_00000,2026-04-11,12853.14,257.06,46.27,12549.81,setl_0010,card
pay_00001b,order_00001,2026-04-02,7408.77,148.18,26.67,7233.92,setl_0001,upi
pay_00002g,order_00002,2026-04-08,5388.36,107.77,19.40,5261.19,setl_0007,netbanking
pay_00003e,order_0,2026-04-14,12299.99,246.00,44.28,12009.71,setl_0013,upi
pay_00004d,order_00004,2026-04-18,5466.12,109.32,19.68,5337.12,setl_0017,wallet
pay_00005c,order_00005,2026-04-12,25345.27,506.91,91.24,24747.12,setl_0011,wallet
pay_00006b,order_00006,2026-04-11,37849.94,757.00,136.26,36956.68,setl_0010,wallet
pay_00007b,order_00007,2026-04-14,3487.94,69.76,12.56,3405.62,setl_0013,netbanking
pay_00008h,order_00008,2026-04-23,29574.09,591.48,106.47,28876.14,setl_0022,upi
pay_00009h,order_00009,2026-04-24,26170.74,523.41,94.21,25553.12,setl_0023,wallet
pay_00010h,,2026-04-12,14295.91,285.92,51.47,13958.52,setl_0011,wallet
pay_00012g,order_00012,2026-04-13,23505.83,470.12,84.62,22951.09,setl_0012,wallet
pay_00015c,order_00015,2026-04-06,22239.78,444.80,80.06,21714.92,setl_0005,upi
pay_00016g,order_00016,2026-04-15,33114.12,662.28,119.21,32332.63,setl_0014,card
pay_00019a,order_00019,2026-04-18,8710.44,174.21,31.36,8504.87,setl_0017,netbanking
pay_00020b,order_00020,2026-04-20,30747.24,614.94,110.69,30021.61,setl_0019,netbanking
pay_00022c,order_00022,2026-04-24,22408.41,448.17,80.67,21879.57,setl_0023,card
pay_00023e,order_00023,2026-04-23,2467.48,49.35,8.88,2409.25,setl_0022,netbanking
pay_00024f,order_00024,2026-04-06,30036.95,600.74,108.13,29328.08,setl_0005,card
pay_00025d,order_00025,2026-04-27,33810.84,676.22,121.72,33012.90,setl_0026,netbanking
pay_00026f,order_00026,2026-04-16,21940.12,438.80,78.98,21422.34,setl_0015,upi
pay_00027d,order_00027,2026-04-08,8768.56,175.37,31.57,8561.62,setl_0007,upi
pay_00028b,order_00028,2026-04-16,29056.39,581.13,104.60,28370.66,setl_0015,wallet
pay_00029f,order_00029,2026-04-06,36599.27,731.99,131.76,35735.52,setl_0005,wallet
pay_00030c,order_00030,2026-04-24,7322.54,146.45,26.36,7149.73,setl_0023,card
pay_00031f,order_00031,2026-04-20,39990.94,799.82,143.97,39047.15,setl_0019,card
pay_00032d,order_00032,2026-04-14,16540.46,330.81,59.55,16150.10,setl_0013,netbanking
pay_00033a,order_00033,2026-04-09,35348.32,706.97,127.25,34514.10,setl_0008,wallet
pay_00034c,order_00034,2026-04-27,42280.36,845.61,152.21,41282.54,setl_0026,upi
pay_00035h,order_00035,2026-04-25,12765.34,255.31,45.96,12464.07,setl_0024,wallet
pay_00036a,order_00036,2026-04-26,9100.10,182.00,32.76,8885.34,setl_0025,wallet
pay_00037b,order_00037,2026-04-18,2536.54,50.73,9.13,2476.68,setl_0017,card
pay_00038h,order_00038,2026-04-23,23451.00,469.02,84.42,22897.56,setl_0022,card
pay_00039b,order_00039,2026-04-27,37740.38,754.81,135.87,36849.70,setl_0026,upi
pay_00040c,order_00040,2026-04-07,25598.03,511.96,92.15,24993.92,setl_0006,card
pay_00041b,order_00041,2026-04-15,18619.36,372.39,67.03,18179.94,setl_0014,card
pay_00042g,order_00042,2026-04-23,36397.67,727.95,131.03,35538.69,setl_0022,upi
pay_00043a,order_00043,2026-04-11,38675.09,773.50,139.23,37762.36,setl_0010,upi
pay_00044b,order_00044,2026-04-26,19371.48,387.43,69.74,18914.31,setl_0025,netbanking
pay_00045e,order_00045,2026-04-25,11066.90,221.34,39.84,10805.72,setl_0024,netbanking
pay_00047a,order_0,2026-04-14,6273.53,125.47,22.58,6125.48,setl_0013,netbanking
pay_00048f,order_00048,2026-04-28,10406.05,208.12,37.46,10160.47,setl_0027,card
pay_00049b,order_00049,2026-04-02,44399.83,888.00,159.84,43351.99,setl_0001,netbanking
pay_00050c,order_00050,2026-04-17,17468.75,349.38,62.89,17056.48,setl_0016,upi
pay_00051d,order_00051,2026-04-01,42616.33,852.33,153.42,41610.58,setl_0000,wallet
pay_00052e,order_00052,2026-04-18,33173.44,663.47,119.42,32390.55,setl_0017,wallet
pay_00053a,order_00053,2026-04-12,4761.44,95.23,17.14,4649.07,setl_0011,upi
pay_00054e,order_00054,2026-04-03,32149.67,642.99,115.74,31390.94,setl_0002,card
pay_00056e,order_00056,2026-04-11,27338.99,546.78,98.42,26693.79,setl_0010,wallet
pay_00057d,order_00057,2026-04-09,42373.90,847.48,127.12,41399.30,setl_0008,card
pay_00058e,order_00058,2026-04-13,3694.27,73.89,13.30,3607.08,setl_0012,card
pay_00059h,order_00059,2026-04-22,32874.00,657.48,118.35,32098.17,setl_0021,wallet
pay_00060a,order_00060,2026-04-24,42606.85,852.14,153.39,41601.32,setl_0023,upi
pay_00061f,order_00061,2026-04-01,3710.64,74.21,13.36,3623.07,setl_0000,upi
pay_00062h,order_,2026-04-21,44779.74,895.59,161.21,43722.94,setl_0020,upi
pay_00063b,order_00063,2026-04-24,39949.12,798.98,143.82,39006.32,setl_0023,wallet
pay_00065d,order_00065,2026-04-25,4120.46,82.41,14.83,4023.22,setl_0024,card
pay_00067h,order_00067,2026-04-22,8547.26,170.95,30.77,8345.54,setl_0021,upi
pay_00068b,order_00068,2026-04-18,16913.30,338.27,60.89,16514.14,setl_0017,wallet
pay_00069d,order_00069,2026-04-09,32650.19,653.00,117.54,31879.65,setl_0008,netbanking
pay_00070b,order_00070,2026-04-05,42875.56,857.51,154.35,41863.70,setl_0004,wallet
pay_00072c,,2026-04-22,38011.51,760.23,136.84,37114.44,setl_0021,netbanking
pay_00073b,order_00073,2026-04-25,28575.36,571.51,102.87,27900.98,setl_0024,netbanking
pay_00074b,order_00074,2026-04-12,5649.69,112.99,20.34,5516.36,setl_0011,netbanking
pay_00075e,order_00075,2026-04-04,4528.99,90.58,16.30,4422.11,setl_0003,netbanking
pay_00076g,order_00076,2026-04-07,31517.80,630.36,113.46,30773.98,setl_0006,card
pay_00078e,order_00078,2026-04-15,11823.30,236.47,42.56,11544.27,setl_0014,wallet
pay_00079e,order_00079,2026-04-14,29027.52,580.55,104.50,28342.47,setl_0013,netbanking
pay_00081h,order_00081,2026-04-03,17636.61,352.73,63.49,17220.39,setl_0002,wallet
pay_00082c,order_00082,2026-04-05,16339.27,326.79,58.82,15953.66,setl_0004,card
pay_00083d,order_00083,2026-04-01,34825.63,696.51,125.37,34003.75,setl_0000,netbanking
pay_00084d,order_00084,2026-04-05,42426.89,848.54,152.74,41425.61,setl_0004,wallet
pay_00086h,order_00086,2026-04-23,39899.62,997.49,179.55,38722.58,setl_0022,wallet
pay_00087d,order_00087,2026-04-15,21041.77,420.84,75.75,20545.18,setl_0014,upi
pay_00089e,order_00089,2026-04-08,3352.42,67.05,12.07,3273.30,setl_0007,upi
pay_00090d,order_00090,2026-04-04,6100.54,122.01,21.96,5956.57,setl_0003,netbanking
pay_00091d,order_00091,2026-04-15,23569.96,471.40,84.85,23013.71,setl_0014,netbanking
pay_00092g,order_00092,2026-04-02,2026.65,40.53,7.30,1978.82,setl_0001,card
pay_00093g,order_00093,2026-04-16,3059.29,61.19,11.01,2987.09,setl_0015,upi
pay_00094e,order_00094,2026-04-07,41780.96,835.62,150.41,40794.93,setl_0006,netbanking
pay_00095d,order_00095,2026-04-04,41786.75,835.74,150.43,40800.58,setl_0003,card
