refund_id,payment_id,refunded_at,amount,settlement_id
rfnd_0000,pay_00007b,2026-04-15,2672.81,setl_0012
rfnd_0001,pay_00010h,2026-04-15,14295.91,setl_0012
rfnd_0002,pay_00045e,2026-04-28,5987.19,setl_0025
rfnd_0003,pay_00092g,2026-04-06,1342.86,setl_0003
rfnd_0004,pay_00144d,2026-04-06,1382.80,setl_0003
rfnd_0005,pay_00166g,2026-04-14,8180.63,setl_0011
rfnd_0006,pay_00168f,2026-04-20,887.78,setl_0017
rfnd_0007,pay_00180f,2026-04-24,16347.44,setl_0021
rfnd_0008,pay_00204a,2026-04-28,8638.42,setl_0025
rfnd_0009,pay_00226c,2026-04-08,14542.44,setl_0005
rfnd_0010,pay_00233c,2026-04-14,14340.27,setl_0011
rfnd_0011,pay_00253h,2026-04-05,11296.59,setl_0002
rfnd_0012,pay_00260g,2026-04-18,1472.47,setl_0015
rfnd_0013,pay_00268e,2026-04-19,9600.56,setl_0016
rfnd_0014,pay_00274b,2026-04-10,8603.53,setl_0007
