settlement_id,settled_at,payout_amount,utr
setl_0000,2026-04-03,166417.60,UTR287021343286
setl_0001,2026-04-04,190734.12,UTR952444100145
setl_0002,2026-04-05,110371.61,UTR162787203229
setl_0003,2026-04-06,147794.24,
setl_0004,2026-04-07,147685.16,UTR249067261630
setl_0005,2026-04-08,281466.91,UTR322789080679
setl_0006,2026-04-09,230313.30,UTR490287004565
setl_0007,2026-04-10,77320.69,UTR981934577532
setl_0008,2026-04-11,291310.78,UTR382718930125
setl_0009,2026-04-12,191933.32,UTR678692079564
setl_0010,2026-04-13,277241.74,UTR997835012153
setl_0011,2026-04-14,226113.69,
setl_0012,2026-04-15,186396.00,UTR134844938098
setl_0013,2026-04-16,196663.12,UTR487640565588
setl_0014,2026-04-17,152665.65,UTR583533315126
setl_0015,2026-04-18,222169.16,
setl_0016,2026-04-19,122671.39,UTR264004480678
setl_0017,2026-04-20,197032.34,UTR837390750969
setl_0018,2026-04-21,94834.45,
setl_0019,2026-04-22,183760.81,UTR936185120559
setl_0020,2026-04-23,232244.23,UTR125829077333
setl_0021,2026-04-24,146288.24,UTR630436084044
setl_0022,2026-04-25,244171.16,UTR181756673334
setl_0023,2026-04-26,279143.31,UTR760048479160
setl_0024,2026-04-27,189619.89,UTR860889033985
setl_0025,2026-04-28,165433.60,UTR669559244804
setl_0026,2026-04-29,238519.71,UTR440231479471
setl_0027,2026-04-30,134052.66,
